,"Graphics Card Database
Maintained by Nathan Mayer Since 2005",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,GPU Clockspeed*,Memory Clockspeed,Core Configuration*,GPU,Memory Size (MB),Buswidth (bits),Max Pixel Fillrate (MP/s),Max Texel Fillrate (MT/s),Max Shader Performance (MFLOPS),Max Bandwidth (MB/s),Vertex Proc.,"Max Vertices
(in millions)",DirectX Gen,Memory Type*,Process Size,Transistors,Bus Slot,Ext. Power,"Target Market
at Introduction","Year of
Release",Notes
Radeon X1300XT,500,780(390),12 PP; 4 TMU/ROP,RV530,256-512,128,2000,2000,72000,12480,5,625,DX9c,DDR2,90nm,157m,PCIe16X,no,Upper Mainstream,2006,
Radeon X1550,550,800(400),4 PP/TMU/ROP,RV515,256-512,64-128,2200,2200,26400,12800,4,550,DX9c,DDR2,90nm,105m,"PCIe16X,AGP8X",either,Lower Mainstream,2007,"AGP version uses Rialto bridge chip, and requires external power."
Radeon X1600 Pro,500,780(390),12 PP; 4 TMU/ROP,RV530,256-512,128,2000,2000,72000,12480,5,625,DX9c,"DDR2,GDDR3",90nm,157m,"PCIe16X,AGP8X",either,Upper Mainstream,2005,"AGP version uses Rialto bridge chip, and requires external power."
Radeon X1600XT,590,1380(690),12 PP; 4 TMU/ROP,RV530,256-512,128,2360,2360,84960,22080,5,737.5,DX9c,GDDR3,90nm,157m,"PCIe16X,AGP8X",either,Upper Mainstream,2005,"AGP version uses Rialto bridge chip, and requires external power."
Radeon X1650,500,780(390),12 PP; 4 TMU/ROP,RV530,256-512,128,2000,2000,72000,12480,5,625,DX9c,"DDR2,GDDR3",90nm,157m,"PCIe16X,AGP8X",either,Upper Mainstream,2007,"AGP version uses Rialto bridge chip, and requires external power."
Radeon X1650GT,400,780(390),24 PP; 8 TMU/ROP,RV560,256-512,128,3200,3200,115200,12480,8,800,DX9c,"DDR2,GDDR3",80nm,330m,"PCIe16X,AGP8X",either,Mainstream,2007,"AGP version uses Rialto bridge chip, and requires external power."
Radeon X1650 Pro,600,1400(700),12 PP; 4 TMU/ROP,RV535,256-512,128,2400,2400,86400,22400,5,750,DX9c,GDDR3,90nm,157m,"PCIe16X,AGP8X",either,Mainstream,2006,"AGP version uses Rialto bridge chip, and requires external power."
Radeon X1650XT,575,1350(675),24 PP; 8 TMU/ROP,RV560,256-512,128,4600,4600,165600,21600,8,1150,DX9c,GDDR3,80nm,330m,PCIe16X,no,Upper Mainstream,2006,
Radeon X1800GTO,500,1000(500),12 PP/TMU/ROP,R520,256,256,6000,6000,72000,32000,8,1000,DX9c,GDDR3,90nm,321m,PCIe16X,6pin,Upper Mainstream,2006,
Radeon X1800XL,500,1000(500),16 PP/TMU/ROP,R520,256-512,256,8000,8000,96000,32000,8,1000,DX9c,GDDR3,90nm,321m,PCIe16X,6pin,Highend,2005,
Radeon X1800XT,625,1500(750),16 PP/TMU/ROP,R520,256-512,256,10000,10000,120000,45000,8,1250,DX9c,GDDR3,90nm,321m,PCIe16X,6pin,Enthusiast,2005,
Radeon X1900,500,1000(500),48 PP; 16 TMU/ROP,R580,256,256,8000,8000,288000,32000,8,1000,DX9c,GDDR3,90nm,384m,PCIe16X,6pin,Enthusiast,2006,Only available as an All-In-Wonder card.
Radeon X1900GT,"512, 575",1200(600)-1320(660),36 PP; 12 TMU/ROP,R580,256-512,256,6900,6900,248400,42240,8,1150,DX9c,GDDR3,90nm,384m,PCIe16X,6pin,Upper Mainstream,2006,
Radeon X1900XT,625,1450(725),48 PP; 16 TMU/ROP,R580,256-512,256,10000,10000,360000,46400,8,1250,DX9c,GDDR3,90nm,384m,PCIe16X,6pin,Enthusiast,2006,
Radeon X1900XTX,650,1550(775),48 PP; 16 TMU/ROP,R580,512,256,10400,10400,374400,49600,8,1300,DX9c,GDDR3,90nm,384m,PCIe16X,6pin,Enthusiast,2006,
Radeon X1950GT,500,1200(600),36 PP; 12 TMU/ROP,RV570,256-512,256,6000,6000,216000,38400,8,1000,DX9c,GDDR3,80nm,330m,"PCIe16X,AGP8X",4pin(x2)/6pin,Upper Mainstream,2007,AGP version uses Rialto bridge chip.
Radeon X1950 Pro,575,1380(690),36 PP; 12 TMU/ROP,RV570,256-512,256,6900,6900,248400,44160,8,1150,DX9c,GDDR3,80nm,330m,"PCIe16X,AGP8X",6pin,Highend,2006,AGP version uses Rialto bridge chip.
Radeon X1950XT,625,1800(900),48 PP; 16 TMU/ROP,R580,256-512,256,10000,10000,360000,57600,8,1250,DX9c,GDDR3,90nm,384m,"PCIe16X,AGP8X",6pin,Highend,2006,
Radeon X1950XTX,650,2000(1000),48 PP; 16 TMU/ROP,R580,512,256,10400,10400,374400,64000,8,1300,DX9c,GDDR4,90nm,384m,PCIe16X,6pin,Enthusiast,2006,First to use GDDR4 memory.
Radeon HD 2400 Pro,525,"800(400), 1000(500)",40 SP; 4 TMU/ROP,RV610,256,64,2100,2100,42000,8000,40,1050,DX10,"DDR2,GDDR3",65nm,180m,PCIe16X,no,Budget,2007,
Radeon HD 2400XT,700,1600(800),40 SP; 4 TMU/ROP,RV610,256,64,2800,2800,56000,12800,40,1400,DX10,GDDR3,65nm,180m,PCIe16X,no,Upper Budget,2007,
Radeon HD 2600 Pro,600,"800(400), 1000(500)",120 SP; 8 TMU; 4 ROP,RV630,256-512,128,2400,4800,144000,16000,120,3600,DX10,"DDR2,GDDR3",65nm,390m,"PCIe16X,AGP8X",either,Mainstream,2007,"AGP version uses Rialto bridge chip, and requires external power."
Radeon HD 2600XT,800,"1600(800), 2200(1100)",120 SP; 8 TMU; 4 ROP,RV630,256-512,128,3200,6400,192000,35200,120,4800,DX10,"GDDR3,4",65nm,390m,"PCIe16X,AGP8X",either,Upper Mainstream,2007,"AGP version uses Rialto bridge chip, and requires external power."
Radeon HD 2900GT,600,1600(800),240 SP; 12 TMU/ROP,R600,256,256,7200(?),7200(?),288000,51200,240,7200,DX10,GDDR3,80nm,720m,PCIe16X,6pin,Mainstream,2007,
Radeon HD 2900 Pro,600,1600(800),320 SP; 16 TMU/ROP,R600,512-1024,512,9600,9600,384000,102400,320,9600,DX10,GDDR3,80nm,720m,PCIe16X,6+8pin,Upper Mainstream,2007,
Radeon HD 2900XT,740,1650(825)-2000(1000),320 SP; 16 TMU/ROP,R600,512-1024,512,11840,11840,473600,140800,320,11840,DX10,"GDDR3,4",80nm,720m,PCIe16X,6+8pin,Highend,2007,First to have a 512-bit memory interface. 1GB version used GDDR4.
Radeon HD 3450,600,"800(400), 1000(500)",40 SP; 4 TMU/ROP,RV620,256,64,2400,2400,48000,8000,40,1200,DX10.1,DDR2,55nm,181m,PCIe2.0,no,Budget,2008,
Radeon HD 3470,800,1900(950),40 SP; 4 TMU/ROP,RV620,256-512,64,3200,3200,64000,15200,40,1600,DX10.1,GDDR3,55nm,181m,PCIe2.0,no,Upper Budget,2008,
Radeon HD 3650,725,"1000(500),1600(800)",120 SP; 8 TMU; 4 ROP,RV635,256-512-1024,128,2900,5800,174000,25600,120,4350,DX10.1,"DDR2,GDDR3",55nm,378m,"PCIe2.0,AGP8X",either,Lower Mainstream,2008,"AGP version uses Rialto bridge chip, and requires external power."
Radeon HD 3850,670,1666(833),320 SP; 16 TMU/ROP,RV670,256-512-1024,256,10720,10720,428800,53312,320,10720,DX10.1,GDDR3,55nm,666m,"PCIe2.0,AGP8X",6+8pin,Upper Mainstream,2007,AGP version uses Rialto bridge chip.
Radeon HD 3870,775,2250(1125),320 SP; 16 TMU/ROP,RV670,512-1024,256,12400,12400,496000,76800,320,12400,DX10.1,GDDR4,55nm,666m,PCIe2.0,6pin,Upper Mainstream,2007,
Radeon HD 3870X2,825,1800(900),320 SP; 16 TMU/ROP(x2),R680,512,256(x2),13200(x2),13200(x2),528000(x2),57600(x2),320(x2),13200(x2),DX10.1,GDDR3,55nm,666m(x2),PCIe16X,6+8pin,Enthusiast,2008,Dual GPU card.
Radeon HD 4350,600,1000(500),80 SP; 8 TMU; 4 ROP,RV710,256,64,2400,4800,96000,8000,80,2400,DX10.1,DDR2,55nm,242m,PCIe2.0,no,Budget,2008,
Radeon HD 4550,600,1600(800),80 SP; 8 TMU; 4 ROP,RV710,256-512,64,2400,4800,96000,12800,80,2400,DX10.1,DDR3,55nm,242m,PCIe2.0,no,Upper Budget,2008,
